t,track_id,class_name,tip_x_mm,tip_y_mm,tip_z_mm,n_neighbours,plane_rms_mm,clearance_mm
1787165458.406,77,Monopolar_Curved_Scissors,93.13,-12.55,12.26,318,2.48,-13.25
1787165458.406,78,UNKNOWN,122.90,-25.44,32.82,42,1.28,-16.34
1787165458.641,77,Monopolar_Curved_Scissors,86.51,-12.22,11.60,175,2.35,9.50
1787165458.641,78,UNKNOWN,120.67,-26.39,32.61,56,1.54,-15.86
1787165458.749,77,Monopolar_Curved_Scissors,95.11,-11.06,15.61,796,3.26,-3.65
1787165458.749,78,UNKNOWN,119.68,-26.81,32.51,269,3.40,-8.65
1787165458.842,77,Monopolar_Curved_Scissors,93.46,-8.21,15.99,1065,2.23,-0.42
1787165458.842,78,UNKNOWN,118.82,-27.17,32.43,446,2.76,3.31
1787165459.082,77,Monopolar_Curved_Scissors,96.51,-7.59,16.13,429,3.35,-1.73
1787165459.082,78,UNKNOWN,116.69,-28.08,32.22,444,4.58,-3.18
1787165459.208,77,Monopolar_Curved_Scissors,96.98,-4.36,12.66,629,4.79,-2.13
1787165459.208,78,UNKNOWN,115.47,-28.60,32.10,491,4.33,4.32
1787165459.208,80,UNKNOWN,140.80,14.76,13.77,28,2.43,-15.42
1787165459.337,77,Monopolar_Curved_Scissors,94.94,-3.50,10.61,698,2.95,9.82
1787165459.337,78,UNKNOWN,114.32,-29.09,31.99,524,4.41,-1.48
1787165459.337,80,UNKNOWN,112.41,10.33,7.71,94,1.52,-12.36
1787165459.465,77,Monopolar_Curved_Scissors,94.52,-7.88,14.23,724,3.51,-6.14
1787165459.465,78,UNKNOWN,113.16,-29.58,31.87,629,3.95,-0.28
1787165459.465,80,Prograsp_Forceps_Right,104.49,10.33,8.33,263,3.44,9.84
1787165459.604,77,Monopolar_Curved_Scissors,91.56,-4.86,14.04,675,4.20,-0.77
1787165459.604,78,UNKNOWN,111.93,-30.11,31.75,514,3.71,-0.30
1787165459.604,80,Prograsp_Forceps_Right,93.33,15.39,5.99,495,3.03,-2.67
