dataset,frame,pred_class,conf,tip_x,tip_y,gt_x,gt_y,gt_instrument,err_px,depth_mm,err_mm
1,frame169,Prograsp_Forceps_Left,0.935,975.7,432.4,906.1,471.9,Left_Prograsp_Forceps_labels,80.03,56.7,4.03
1,frame172,Bipolar_Forceps,0.264,413.7,437.0,378.4,480.0,Left_Prograsp_Forceps_labels,55.62,55.9,2.76
1,frame173,Prograsp_Forceps_Left,0.850,538.0,498.0,433.9,565.6,Left_Prograsp_Forceps_labels,124.14,52.4,5.78
1,frame177,Prograsp_Forceps_Left,0.525,553.9,491.3,434.2,547.8,Left_Prograsp_Forceps_labels,132.28,52.4,6.15
1,frame178,Prograsp_Forceps_Left,0.532,359.6,662.0,354.0,710.7,Left_Prograsp_Forceps_labels,48.97,123.9,5.39
1,frame179,Prograsp_Forceps_Right,0.334,476.1,789.5,390.2,782.5,Left_Prograsp_Forceps_labels,86.23,,
1,frame180,Prograsp_Forceps_Left,0.800,1019.8,673.5,1165.8,654.0,Right_Prograsp_Forceps_labels,147.31,61.7,8.07
1,frame180,Prograsp_Forceps_Left,0.667,475.4,764.9,397.1,780.3,Left_Prograsp_Forceps_labels,79.74,65.1,4.61
1,frame182,Prograsp_Forceps_Right,0.856,1279.7,301.7,1198.4,316.3,Right_Prograsp_Forceps_labels,82.60,,
1,frame182,Prograsp_Forceps_Left,0.810,903.5,549.5,848.3,593.1,Left_Prograsp_Forceps_labels,70.29,,
1,frame183,Prograsp_Forceps_Left,0.587,955.1,561.5,919.6,588.6,Left_Prograsp_Forceps_labels,44.60,60.7,2.41
1,frame183,Prograsp_Forceps_Right,0.428,1323.5,373.3,1283.4,382.2,Right_Prograsp_Forceps_labels,41.13,71.1,2.60
1,frame183,Prograsp_Forceps_Right,0.321,1181.2,409.9,1283.4,382.2,Right_Prograsp_Forceps_labels,105.87,,
1,frame184,Prograsp_Forceps_Left,0.772,952.7,563.7,917.5,590.2,Left_Prograsp_Forceps_labels,44.05,59.9,2.34
1,frame184,Prograsp_Forceps_Right,0.575,1338.4,370.8,1248.6,392.9,Right_Prograsp_Forceps_labels,92.43,61.1,5.02
1,frame185,Prograsp_Forceps_Right,0.710,1266.2,365.6,1165.1,440.8,Right_Prograsp_Forceps_labels,126.02,66.8,7.48
1,frame185,Prograsp_Forceps_Left,0.289,936.6,612.3,859.5,616.0,Left_Prograsp_Forceps_labels,77.25,53.8,3.69
1,frame186,Prograsp_Forceps_Left,0.807,935.4,635.3,846.7,642.3,Left_Prograsp_Forceps_labels,88.99,63.4,5.01
1,frame186,Prograsp_Forceps_Right,0.364,1184.9,550.8,1232.2,477.7,Right_Prograsp_Forceps_labels,86.98,81.3,6.28
1,frame187,Prograsp_Forceps_Left,0.387,911.9,601.8,845.8,626.4,Left_Prograsp_Forceps_labels,70.49,139.8,8.76
1,frame188,Maryland_Bipolar_Forceps,0.354,709.2,554.1,833.6,553.0,Left_Prograsp_Forceps_labels,124.42,57.6,6.36
1,frame188,Maryland_Bipolar_Forceps,0.347,888.6,554.6,833.6,553.0,Left_Prograsp_Forceps_labels,55.02,69.7,3.41
1,frame189,Prograsp_Forceps_Left,0.494,815.5,564.1,726.6,573.7,Left_Prograsp_Forceps_labels,89.40,75.2,5.97
1,frame190,Prograsp_Forceps_Right,0.938,1071.4,405.5,1034.9,543.6,Right_Prograsp_Forceps_labels,142.86,50.7,6.43
1,frame190,Prograsp_Forceps_Left,0.561,829.2,567.1,744.3,578.1,Left_Prograsp_Forceps_labels,85.70,73.9,5.62
1,frame190,Prograsp_Forceps_Left,0.268,661.4,583.2,744.3,578.1,Left_Prograsp_Forceps_labels,83.04,66.7,4.92
1,frame191,Prograsp_Forceps_Right,0.896,1087.4,395.5,1066.1,539.1,Right_Prograsp_Forceps_labels,145.19,141.9,18.30
1,frame191,Prograsp_Forceps_Left,0.574,827.9,567.6,743.0,576.6,Left_Prograsp_Forceps_labels,85.33,54.8,4.15
